element_type,osmid,nodes,building,geometry,addr:RU:egrn,addr:housenumber,addr:street,source:addr
way,1190330249,"[11052388680, 11052388679, 11052388678, 11052388677, 11052388680]",yes,"POLYGON ((34.3679193 53.1396255, 34.3679836 53.1395113, 34.3678631 53.1394868, 34.3677987 53.1396011, 34.3679193 53.1396255))","Брянская обл, р-н Брянский, п Свень, ул Свенская, уч 20/1",20/1,Свенская улица,ЕГРН
way,1190330250,"[11052388684, 11052388681, 11052388682, 11052388683, 11052388684]",yes,"POLYGON ((34.3682626 53.1396094, 34.3683037 53.1395478, 34.3681982 53.1395225, 34.3681571 53.1395841, 34.3682626 53.1396094))","Брянская обл, р-н Брянский, п Свень, ул Свенская, д 20/2",20/2,Свенская улица,ЕГРН
way,1190330251,"[11052388688, 11052388687, 11052388686, 11052388685, 11052388688]",yes,"POLYGON ((34.3684074 53.1392957, 34.3684396 53.1392474, 34.3683605 53.1392284, 34.3683283 53.1392767, 34.3684074 53.1392957))",,,,
way,1190330252,"[11052388692, 11052388691, 11052388690, 11052388689, 11052388692]",yes,"POLYGON ((34.3683726 53.1394389, 34.3684182 53.1393906, 34.3683681 53.1393736, 34.3683225 53.1394219, 34.3683726 53.1394389))",,,,
way,1190330253,"[11052388696, 11052388695, 11052388694, 11052388693, 11052388696]",yes,"POLYGON ((34.3682009 53.1394598, 34.3682492 53.1393809, 34.368182 53.1393661, 34.3681338 53.139445, 34.3682009 53.1394598))","Брянская обл, р-н Брянский, п Свень, ул Свенская, д 20 А",20А,Свенская улица,ЕГРН
way,1190330254,"[11052388700, 11052388699, 11052388698, 11052388697, 11052388700]",yes,"POLYGON ((34.3679354 53.1392957, 34.367997 53.1392426, 34.3679179 53.1392095, 34.3678563 53.1392626, 34.3679354 53.1392957))","Брянская область, р-н Брянский, п Свень, ул Свенская, уч 18 Б",18Б,Свенская улица,ЕГРН
way,1190330255,"[11052388704, 11052388703, 11052388702, 11052388701, 11052388704]",yes,"POLYGON ((34.3675223 53.1390624, 34.3675813 53.1389883, 34.3674446 53.1389491, 34.3673856 53.1390231, 34.3675223 53.1390624))","обл. Брянская, р-н Брянский, п. Свень, ул. Свенская, дом 18",18,Свенская улица,ЕГРН
way,1190330256,"[11052388708, 11052388707, 11052388706, 11052388705, 11052388708]",yes,"POLYGON ((34.3672192 53.1393037, 34.3672568 53.1392184, 34.3671886 53.1392076, 34.3671511 53.1392929, 34.3672192 53.1393037))","Брянская обл, р-н Брянский, п Свень, пер Свенский, участок №5/3",5/3,Свенский переулок,ЕГРН
way,1190330257,"[11052388712, 11052388711, 11052388710, 11052388709, 11052388712]",yes,"POLYGON ((34.3667713 53.1389529, 34.3668222 53.1389063, 34.3667638 53.1388833, 34.3667128 53.13893, 34.3667713 53.1389529))",,,,
way,1190330258,"[11052388716, 11052388715, 11052388714, 11052388713, 11052388716]",yes,"POLYGON ((34.3668383 53.1394855, 34.3668839 53.1394147, 34.3667928 53.1393936, 34.3667472 53.1394644, 34.3668383 53.1394855))",,,,
way,1190330259,"[11052388720, 11052388719, 11052388718, 11052388717, 11052388720]",yes,"POLYGON ((34.3665272 53.1392361, 34.3665647 53.1391734, 34.3664856 53.1391563, 34.3664481 53.1392191, 34.3665272 53.1392361))",,,,
way,1190330260,"[11052388724, 11052388721, 11052388722, 11052388723, 11052388724]",yes,"POLYGON ((34.3666935 53.1396915, 34.3667259 53.1396516, 34.366554 53.1396014, 34.3665216 53.1396412, 34.3666935 53.1396915))",,,,
way,1190330261,"[11052388728, 11052388727, 11052388726, 11052388725, 11052388728]",yes,"POLYGON ((34.3664253 53.1394276, 34.3664789 53.1393616, 34.3663484 53.1393234, 34.3662947 53.1393894, 34.3664253 53.1394276))",,,,
way,1190330262,"[11052388742, 11052388739, 11052388740, 11052388741, 11052388742]",yes,"POLYGON ((34.3665084 53.1415289, 34.3665955 53.1415621, 34.3666706 53.1414913, 34.3665835 53.1414581, 34.3665084 53.1415289))","Российская Федерация, Брянская область, Брянский муниципальный район, Свенское сельское поселение, п Свень, ул Свенская, уч 18А",18А,Свенская улица,ЕГРН
way,1190330263,"[11052388751, 11052388748, 11052388749, 11052388750, 11052388751]",yes,"POLYGON ((34.3676296 53.1399392, 34.3678596 53.1399819, 34.3678944 53.1399144, 34.3676645 53.1398717, 34.3676296 53.1399392))",,,,
way,1190330264,"[11052388755, 11052388752, 11052388753, 11052388754, 11052388755]",yes,"POLYGON ((34.3674204 53.1409143, 34.3674807 53.1409505, 34.3675692 53.1408974, 34.3675089 53.1408612, 34.3674204 53.1409143))",,,,
way,1190330265,"[11052388759, 11052388756, 11052388757, 11052388758, 11052388759]",yes,"POLYGON ((34.3675679 53.140623, 34.3677437 53.1406816, 34.3678108 53.1406092, 34.3676349 53.1405506, 34.3675679 53.140623))",,,,
way,1190330266,"[11052388763, 11052388762, 11052388761, 11052388760, 11052388763]",yes,"POLYGON ((34.3672594 53.1402321, 34.3674139 53.1402747, 34.3674713 53.1401999, 34.3673169 53.1401572, 34.3672594 53.1402321))",,,,
