element_type,osmid,operator,railway,ref,geometry,location,man_made,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,name,opening_hours,phone,power,building,building:levels,substation,access,parking,fixme,wheelchair,shop,noname,tickets:public_transport,surface,name:ru,layer,nodes,building:flats,design:ref,start_date,height,building:colour,note:cadastre:id,year_of_construction,addr:housenumber2,building:material,roof:shape,abandoned,brand,contact:website,owner,design:note,construction,note,website,health_facility:type,healthcare,name:uk,official_short_type,pipeline,substance,utility,voltage,religion,social_facility,social_facility:for,education,education_form:parttime,education_level:primary,education_profile:music,education_system:ru_standard,landuse,building:min_level,power:output:hot_water,fee,female,male,check_date:opening_hours,toilets,denomination,shelter_type,leisure,sport,outdoor_seating,unisex,heating,voltage:primary,branch,frequency,check_date,roof:colour,roof:height,roof:material,contact:instagram,cuisine,drink:coffee,takeaway,service,service:vehicle:tyres,inscription,ways,type,name:en,old_name,old_name:de,old_name:en,roof:levels,smoking
way,532942223,,,,"POLYGON ((37.6520168 55.8538883, 37.6522229 55.8539326, 37.652259 55.8538796, 37.6520529 55.8538354, 37.6520168 55.8538883))",,,,,,,,,,,,yes,,,,,,,,,,,,,"[5171223244, 5171223245, 688349412, 5171223246, 5171223244]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,541581464,,,,"POLYGON ((37.6654249 55.8522933, 37.6655355 55.8523283, 37.6654873 55.8523729, 37.6653796 55.8523394, 37.6654249 55.8522933))",,,,4,,Уржумская улица,,,,,,yes,1,,,,,,,,,,,,"[5236810875, 5236810876, 5236810877, 5236810878, 5236810875]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,541695522,,,,"POLYGON ((37.6633912 55.8520385, 37.6634094 55.8520446, 37.6633876 55.8520653, 37.6645704 55.8524583, 37.6647055 55.8523302, 37.6635227 55.8519372, 37.6634998 55.8519589, 37.6634836 55.8519535, 37.6634848 55.8519475, 37.663476 55.8519194, 37.6634534 55.8518938, 37.6634188 55.8518728, 37.6633751 55.8518582, 37.6633259 55.851851, 37.663275 55.8518519, 37.6632266 55.8518608, 37.6631847 55.851877, 37.6631526 55.8518992, 37.663133 55.8519255, 37.6631273 55.8519539, 37.6631362 55.8519821, 37.6631588 55.8520077, 37.6631933 55.8520287, 37.663237 55.8520433, 37.6632863 55.8520505, 37.6633372 55.8520496, 37.6633855 55.8520407, 37.6633912 55.8520385))",,,,4 к1,,Уржумская улица,parking,,,,,yes,,,,multi-storey,,,,,,,,,"[5237836779, 5237836782, 5237836802, 5237836803, 5237836804, 5237836805, 5237836781, 5237836780, 5237836796, 5237836797, 5237836798, 5237836799, 5237836800, 5237836783, 5237836784, 5237836785, 5237836786, 5237836787, 5237836788, 5237836789, 5237836790, 5237836791, 5237836792, 5237836801, 5237836793, 5237836794, 5237836795, 5237836779]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,546967023,,,,"POLYGON ((37.6376063 55.8476906, 37.6380263 55.8476502, 37.6379868 55.8475207, 37.637547 55.847563, 37.6375614 55.8476101, 37.6375811 55.8476082, 37.6375937 55.8476494, 37.6376063 55.8476906))",,,,,,,parking,,,,,yes,,,private,underground,,,,,,,,,"[5285248177, 5285248174, 5285248175, 5285248176, 10261255824, 10261255825, 8554187906, 5285248177]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,546967024,,,,"POLYGON ((37.6378727 55.8486216, 37.6382831 55.8485822, 37.6382451 55.8484577, 37.6378347 55.8484972, 37.6378438 55.848527, 37.6378727 55.8486216))",,,,,,,,,,,,yes,,,,,,,,,,,,,"[5285248181, 5285248178, 5285248179, 5285248180, 7731955154, 5285248181]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,552386619,,,,"POLYGON ((37.6442743 55.8493725, 37.6442746 55.8494244, 37.6441293 55.8494246, 37.6441291 55.8493727, 37.6442743 55.8493725))",,,,,,,,,,,,yes,,,,,,,,,,,,,"[5333257869, 5333257870, 5333257871, 5333257872, 5333257869]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,552386634,,,,"POLYGON ((37.6420687 55.8503868, 37.6420452 55.8503368, 37.6420908 55.85033, 37.6421143 55.8503801, 37.6420687 55.8503868))",,,,,,,,,,,,garage,,,,,,,,,,,,,"[5333257887, 5333257888, 5333257889, 5333257890, 5333257887]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,552386636,,,12931,"POLYGON ((37.6421397 55.8503735, 37.6423171 55.8503472, 37.6422916 55.8502928, 37.6421141 55.8503191, 37.6421397 55.8503735))",,,,11 с1,,Снежная улица,,,,,substation,service,1,minor_distribution,,,,,,,,,,,"[5333257891, 5333257892, 5333257893, 5333257894, 5333257891]",,,,,,,,,,,,,,,,,,,,,,ТП,,,power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,552591050,,,,"POLYGON ((37.6301228 55.8477887, 37.6303268 55.8477226, 37.6302095 55.8476085, 37.6300055 55.8476746, 37.6301228 55.8477887))",,,,32,,Сельскохозяйственная улица,,,,,,commercial,1,,,,"Уточнить номер дома, когда на здании появится вывеска с адресом",,,,,,,,"[5334961784, 5334961785, 9011049754, 5334961787, 5334961784]",,,,7.4,white,77:02:0014004:1025,1917,,,pyramidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-17,#c75d4d,1.4,metal,,,,,,,,,,,,,,,
way,552591105,,,,"POLYGON ((37.6334457 55.8503205, 37.6335535 55.8507258, 37.6337755 55.8507072, 37.6337426 55.8505836, 37.6337851 55.85058, 37.6337461 55.8504333, 37.6337017 55.8504371, 37.6336658 55.8503021, 37.6334457 55.8503205))",,,,1Г,,1-й Ботанический проезд,,,,,,yes,1,,,,,,,,,,,,"[5334961960, 5334961961, 5334961962, 5334961963, 5334961964, 5334961965, 5334961966, 5334961967, 5334961960]",,,,,,77:02:0014011:1180,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
