element_type,osmid,nodes,addr:city,addr:housenumber,addr:postcode,addr:street,building,denomination,name,religion,website,geometry,layer,building:levels,shop,man_made,tourism,ways,type,amenity
way,210207557,"[2203085812, 2203085811, 2203085858, 2203085860, 2203085812]",,31,,Советская улица,yes,,,,,"POLYGON ((49.0822348 53.8143746, 49.0820585 53.8143732, 49.0820553 53.8145096, 49.0822316 53.814511, 49.0822348 53.8143746))",,,,,,,,
way,210207558,"[2203085965, 2203085964, 2203086023, 2203086024, 2203085965]",,,,,yes,,,,,"POLYGON ((49.0847625 53.8149127, 49.0845667 53.8149118, 49.0845651 53.8150331, 49.0847609 53.815034, 49.0847625 53.8149127))",,,,,,,,
way,210207559,"[2203086258, 2203086257, 2203086272, 2203086273, 2203086258]",,,,,yes,,,,,"POLYGON ((49.0924013 53.8159797, 49.0922375 53.8159797, 49.0922375 53.8160463, 49.0924013 53.8160463, 49.0924013 53.8159797))",,,,,,,,
way,210207560,"[2203084554, 2203084553, 2203084568, 2203084570, 2203084554]",Хрящёвка,12,,улица Калинина,yes,,,,,"POLYGON ((49.0928018 53.8061605, 49.0926971 53.806158, 49.0926898 53.8062614, 49.0927945 53.806264, 49.0928018 53.8061605))",,,,,,,,
way,210207561,"[2203085266, 2203085272, 2203085306, 2203085299, 2203085266]",,38А,,Полевая улица,yes,,,,,"POLYGON ((49.0922242 53.8111625, 49.0917429 53.8111732, 49.0917503 53.81129, 49.0922316 53.8112793, 49.0922242 53.8111625))",,,,,,,,
way,210207562,"[2203084561, 2203084562, 2203084581, 2203084580, 2203084561]",,,,,yes,,,,,"POLYGON ((49.0953082 53.806221, 49.0951098 53.8062249, 49.0951161 53.8063342, 49.0953145 53.8063302, 49.0953082 53.806221))",,,,,,,,
way,210207563,"[2203086519, 2203086518, 2203086549, 2203086551, 2203086519]",,,,,yes,,,,,"POLYGON ((49.0821733 53.8165621, 49.0820033 53.8165602, 49.0820015 53.8166151, 49.0821716 53.816617, 49.0821733 53.8165621))",,,,,,,,
way,210207564,"[2203085670, 2203085669, 2203085676, 2203085677, 2203085670]",,,,,yes,,,,,"POLYGON ((49.0897826 53.8135859, 49.0896572 53.8135859, 49.0896572 53.8136312, 49.0897826 53.8136312, 49.0897826 53.8135859))",,,,,,,,
way,210207565,"[2203084621, 2203084623, 2203084639, 2203084638, 2203084621]",Хрящёвка,71,,Лесная улица,yes,,,,,"POLYGON ((49.0973022 53.8067928, 49.0971243 53.8067944, 49.0971277 53.8069235, 49.0973056 53.8069219, 49.0973022 53.8067928))",,,,,,,,
way,210207566,"[2203084914, 2203084913, 2203084923, 2203084924, 2203084914]",,18,,улица Мира,yes,,,,,"POLYGON ((49.0972468 53.8091619, 49.0966301 53.8091593, 49.0966286 53.8092823, 49.0972453 53.8092849, 49.0972468 53.8091619))",,,,,,,,
way,210207567,"[2203085336, 2203085334, 2203085347, 2203085349, 2203085336]",Хрящёвка,50,,улица Ленина,yes,,,,,"POLYGON ((49.0898752 53.8115093, 49.0897253 53.8115093, 49.0897253 53.8115656, 49.0898752 53.8115656, 49.0898752 53.8115093))",,,,,,,,
