element_type,osmid,nodes,building,geometry,addr:housenumber,amenity,religion,addr:postcode,addr:street,ways,type
way,233480528,"[2418602149, 2418602157, 2418602133, 2418602131, 2418602129, 2418602127, 2418602149]",yes,"POLYGON ((30.1893323 47.3852303, 30.1894775 47.3852675, 30.1896226 47.3850077, 30.1895819 47.3849973, 30.1895981 47.3849682, 30.1894937 47.3849415, 30.1893323 47.3852303))",,,,,,,
way,233480529,"[2418602285, 2418602290, 2418602295, 2418602296, 2418602288, 2418602284, 2418602285]",yes,"POLYGON ((30.1881434 47.3898086, 30.1886854 47.3899728, 30.188576 47.3901784, 30.1886877 47.3902041, 30.1888261 47.3899349, 30.1881715 47.3897519, 30.1881434 47.3898086))",,,,,,,
way,233480530,"[2418602037, 2418602043, 2418602033, 2418602035, 2418602031, 2418602019, 2418602037]",yes,"POLYGON ((30.1815576 47.3837093, 30.1818777 47.3839009, 30.1822228 47.3836365, 30.1822996 47.3836824, 30.1823967 47.383608, 30.1819998 47.3833705, 30.1815576 47.3837093))",,,,,,,
way,233480531,"[2418602185, 2418602189, 2418602181, 2418602179, 2418602175, 2418602171, 2418602185]",yes,"POLYGON ((30.1901695 47.3855548, 30.190503 47.3856319, 30.1905648 47.3855094, 30.1904973 47.3854938, 30.1905098 47.3854691, 30.1902437 47.3854076, 30.1901695 47.3855548))",,,,,,,
way,233480532,"[2418602292, 2418602294, 2418602285, 2418602284, 2418602281, 2418602280, 2418602292]",yes,"POLYGON ((30.1878412 47.3900408, 30.1880091 47.390079, 30.1881434 47.3898086, 30.1881715 47.3897519, 30.1881833 47.3897282, 30.1880154 47.38969, 30.1878412 47.3900408))",,,,,,,
way,233480533,"[2418601787, 2418601782, 2418601780, 2418601783, 2418601786, 2418601785, 2418601787]",yes,"POLYGON ((30.1991337 47.3783463, 30.1993616 47.3782193, 30.1992547 47.3781315, 30.1989918 47.3782781, 30.1990715 47.3783437, 30.1991067 47.3783241, 30.1991337 47.3783463))",,,,,,,
way,233480534,"[2418601917, 2418601924, 2418601909, 2418601912, 2418601897, 2418601891, 2418601917]",yes,"POLYGON ((30.1947646 47.3824407, 30.1948853 47.3824752, 30.1949361 47.3823937, 30.1949773 47.3824055, 30.1950717 47.3822541, 30.1949098 47.3822079, 30.1947646 47.3824407))",,,,,,,
way,233480535,"[2418602209, 2418602213, 2418602205, 2418602206, 2418602211, 2418602212, 2418602202, 2418602191, 2418602209]",yes,"POLYGON ((30.1899807 47.3859349, 30.1902271 47.3859919, 30.1902833 47.3858806, 30.1903485 47.3858956, 30.1903221 47.3859481, 30.1904845 47.3859857, 30.1905875 47.3857815, 30.1901133 47.3856719, 30.1899807 47.3859349))",15,,,,,,
way,233480536,"[2418602319, 2418602320, 2418602317, 2418602318, 2418602316, 2418602315, 2418602310, 2418602308, 2418602319]",yes,"POLYGON ((30.1964732 47.3933047, 30.1966492 47.393342, 30.1967049 47.3932216, 30.1969181 47.3932667, 30.1969589 47.3931783, 30.1967457 47.3931332, 30.1968103 47.3929935, 30.1966343 47.3929562, 30.1964732 47.3933047))",,,,,,,
way,233480537,"[2418601742, 2418601734, 2418601733, 2418601737, 2418601736, 2418601738, 2418601739, 2418601741, 2418601742]",yes,"POLYGON ((30.1928428 47.3746856, 30.1932214 47.3740934, 30.1930492 47.3740429, 30.1928663 47.3743291, 30.192791 47.3743071, 30.1927493 47.3743722, 30.1928246 47.3743943, 30.1926707 47.3746351, 30.1928428 47.3746856))",,,,,,,
way,233481570,"[2418613311, 2418613309, 2418613304, 2418613293, 2418613297, 2418613291, 2418613283, 2418613285, 2418613288, 2418613299, 2418613295, 2418613302, 2418613311]",yes,"POLYGON ((30.21166 47.3650112, 30.211792 47.3648439, 30.2114555 47.3647221, 30.2116774 47.3644406, 30.2120304 47.3645683, 30.2121757 47.3643841, 30.2113318 47.364079, 30.2111797 47.3642719, 30.211508 47.3643907, 30.2112906 47.3646664, 30.2109607 47.364547, 30.2108312 47.3647112, 30.21166 47.3650112))",,,,,,,
way,233481571,"[2418613277, 2418613275, 2418613273, 2418613259, 2418613265, 7632553135, 2418613261, 2418613242, 2418613249, 2418613255, 2418613271, 2418613263, 2418613270, 2418613277]",yes,"POLYGON ((30.2026795 47.3609091, 30.2028971 47.3607548, 30.2026175 47.360574, 30.2031478 47.360198, 30.2034184 47.3603731, 30.2035596 47.360273, 30.2036234 47.3602277, 30.2029388 47.3597848, 30.2027455 47.3599219, 30.2030241 47.3601021, 30.2024805 47.3604878, 30.2021924 47.3603015, 30.2019767 47.3604545, 30.2026795 47.3609091))",,,,,,,
way,233481573,"[2418613257, 2418613238, 2418613233, 2418613252, 7632553128, 2418613257]",yes,"POLYGON ((30.2006256 47.3601672, 30.2011707 47.3597056, 30.2009251 47.3595725, 30.20038 47.3600341, 30.2005243 47.3601123, 30.2006256 47.3601672))",,,,,,,
way,233481574,"[2418613240, 2418613223, 2418613221, 2418613235, 2418613240]",yes,"POLYGON ((30.202874 47.3597157, 30.2033724 47.3592056, 30.2031685 47.3591142, 30.2026699 47.3596242, 30.202874 47.3597157))",,,,,,,
way,817348991,"[7633468236, 7633468237, 7633468238, 7633468239, 7633468240, 7633468241, 7633468242, 7633468243, 7633468244, 7633468245, 7633468246, 7633468247, 7633468248, 7633468249, 7633468250, 7633468251, 7633468252, 7633468253, 7633468254, 7633468255, 7633468236]",yes,"POLYGON ((30.1936242 47.3825465, 30.1936384 47.3824833, 30.193671 47.3824867, 30.1936765 47.3824623, 30.1937586 47.3824708, 30.1937534 47.3824939, 30.1938717 47.3825061, 30.1938813 47.3824637, 30.1939969 47.3824756, 30.1939897 47.3825078, 30.1940385 47.3825129, 30.1940176 47.3826057, 30.1939693 47.3826007, 30.1939635 47.3826262, 30.1938457 47.3826141, 30.1938547 47.382574, 30.1937347 47.3825616, 30.1937298 47.3825832, 30.1936515 47.3825752, 30.1936572 47.3825499, 30.1936242 47.3825465))",,place_of_worship,christian,,,,
way,817640993,"[7636097262, 7636097263, 7636097264, 7636097265, 7636097262]",yes,"POLYGON ((30.1843192 47.3832195, 30.1845618 47.3830265, 30.1846993 47.3831057, 30.1844568 47.3832987, 30.1843192 47.3832195))",,,,,,,
way,817641022,"[7636108031, 7636108032, 7636108033, 7636108034, 7636108031]",yes,"POLYGON ((30.2040653 47.3897772, 30.204156 47.3897012, 30.2042332 47.3897433, 30.2041425 47.3898194, 30.2040653 47.3897772))",,,,,,,
way,817641083,"[7636108522, 7636108523, 7636108524, 7636108525, 7636108526, 7636108527, 7636108522]",yes,"POLYGON ((30.1814974 47.3853153, 30.1815832 47.3852519, 30.1816417 47.3852882, 30.1816242 47.3853011, 30.1816855 47.3853392, 30.1816172 47.3853897, 30.1814974 47.3853153))",,,,,,,
way,856745311,"[7987933165, 7987933166, 7987933167, 7987933168, 7987933169, 7987933170, 7987933171, 7987933172, 7987933173, 7987933174, 7987933165]",school,"POLYGON ((30.1751385 47.4122359, 30.1750977 47.4124095, 30.1756545 47.4124695, 30.1756141 47.4126411, 30.1754581 47.4126243, 30.1754681 47.4125816, 30.1751389 47.4125461, 30.1751307 47.4125807, 30.174912 47.4125572, 30.1749913 47.41222, 30.1751385 47.4122359))",403,,,66800,вулиця Грушевського,,
way,856745312,"[7987933175, 7987933176, 7987933177, 7987933178, 7987933175]",yes,"POLYGON ((30.1756752 47.4124545, 30.1758712 47.4124872, 30.1759358 47.41231, 30.1757398 47.4122773, 30.1756752 47.4124545))",,,,,,,
