element_type,osmid,geometry,amenity,building,name,shop,nodes,addr:housenumber,addr:street,addr:postcode,building:levels,description,addr:city,building:flats,start_date,phone,leisure,source:addr,operator,brand,brand:en,brand:wikidata,brand:wikipedia,contact:phone,contact:website,name:en,name:ru,opening_hours,ref,bus,public_transport,railway,architect
way,213915695,"POLYGON ((37.3986242 54.7314836, 37.3989978 54.7310853, 37.3988119 54.7310272, 37.3984383 54.7314254, 37.3986242 54.7314836))",,yes,,,"[2235611160, 2235611125, 2235611117, 2235611158, 2235611160]",29А,улица Ленина,,,,Заокский,,,,,,,,,,,,,,,,,,,,
way,213915696,"POLYGON ((37.3863867 54.7303526, 37.387093 54.7306172, 37.3872053 54.7305172, 37.3864991 54.7302526, 37.3863867 54.7303526))",,apartments,,,"[2235611075, 2235611092, 2235611082, 2235611065, 2235611075]",22,Северная улица,301000,5,,,40,2000,,,,,,,,,,,,,,,,,,
way,213915697,"POLYGON ((37.3987785 54.7323102, 37.3990889 54.7319833, 37.3989067 54.7319256, 37.3985963 54.7322525, 37.3987785 54.7323102))",,yes,,,"[2235611186, 2235611178, 2235611176, 2235611182, 2235611186]",33,улица Ленина,,,,Заокский,,,,,,,,,,,,,,,,,,,,
way,213915698,"POLYGON ((37.3936578 54.7323372, 37.3941435 54.7324663, 37.394227 54.7323616, 37.3937413 54.7322325, 37.3936578 54.7323372))",,yes,,,"[2235611187, 2235611195, 2235611191, 2235611180, 2235611187]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,213915699,"POLYGON ((37.3912847 54.7301041, 37.3912969 54.7300425, 37.3911778 54.7300347, 37.3911656 54.7300963, 37.3912847 54.7301041))",,yes,,,"[2235611053, 2235611047, 2235611045, 2235611051, 2235611053]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,213915700,"POLYGON ((37.3949112 54.7313289, 37.3949744 54.7310119, 37.3947787 54.7309989, 37.3947155 54.7313158, 37.3949112 54.7313289))",,apartments,,,"[2235611152, 2235611115, 2235611113, 2235611151, 2235611152]",2,Северная улица,301000,2,,,16,1969,,,,,,,,,,,,,,,,,,
way,213915701,"POLYGON ((37.3945349 54.7326326, 37.3947646 54.7323521, 37.3945794 54.7323016, 37.3943497 54.732582, 37.3945349 54.7326326))",,yes,,,"[2235611205, 2235611189, 2235611184, 2235611201, 2235611205]",7,Первомайский проезд,,,,Заокский,,,,,,,,,,,,,,,,,,,,
way,213915702,"POLYGON ((37.3898722 54.7291896, 37.3905157 54.7292282, 37.3905369 54.7291103, 37.3898934 54.7290717, 37.3898722 54.7291896))",,apartments,,,"[2235610989, 2235610993, 2235610985, 2235610984, 2235610989]",27,проезд Саши Чекалина,,4,,,,,,,,,,,,,,,,,,,,,,
way,213915703,"POLYGON ((37.3922704 54.7300208, 37.3923984 54.7300285, 37.3924085 54.7299717, 37.3922805 54.7299641, 37.3922704 54.7300208))",,yes,,,"[2235611042, 2235611043, 2235611040, 2235611036, 2235611042]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,213915704,"POLYGON ((37.3919911 54.7287449, 37.3929827 54.728808, 37.3930008 54.728713, 37.3920092 54.72865, 37.3919911 54.7287449))",,apartments,,,"[2235610973, 2235610975, 2235610969, 2235610965, 2235610973]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,213915705,"POLYGON ((37.3931839 54.7288395, 37.3945577 54.7289291, 37.3945794 54.7288179, 37.3932056 54.7287283, 37.3931839 54.7288395))",,apartments,,,"[2235610982, 2235610983, 2235610981, 2235610971, 2235610982]",4,улица Мира,,5,,,,,,,,,,,,,,,,,,,,,,
way,213915706,"POLYGON ((37.3906886 54.7293557, 37.3913338 54.7293915, 37.3913525 54.7292791, 37.3907073 54.7292433, 37.3906886 54.7293557))",,apartments,,,"[2235611007, 2235611009, 2235611001, 2235610995, 2235611007]",25,проезд Саши Чекалина,,4,,,,,,,,,,,,,,,,,,,,,,
way,213915707,"POLYGON ((37.3948911 54.7304626, 37.3950887 54.7304772, 37.3951577 54.7301669, 37.39496 54.7301522, 37.3948911 54.7304626))",,apartments,,,"[2235611078, 2235611080, 2235611058, 2235611055, 2235611078]",6,Северная улица,301000,2,,,,1968,,,,,,,,,,,,,,,,,,
way,213915708,"POLYGON ((37.3881202 54.7310326, 37.3886677 54.7312267, 37.3887773 54.7311237, 37.3882298 54.7309295, 37.3881202 54.7310326))",,apartments,,,"[2235611119, 2235611140, 2235611128, 2235611108, 2235611119]",16,Северная улица,,,,,,,,,,,,,,,,,,,,,,,,
way,213915709,"POLYGON ((37.3901862 54.7297589, 37.3908329 54.7298104, 37.3908585 54.7297029, 37.3902119 54.7296514, 37.3901862 54.7297589))",,apartments,,,"[2235611033, 2235611034, 2235611027, 2235611024, 2235611033]",10,проезд Саши Чекалина,,,,,,,,,,,,,,,,,,,,,,,,
way,214394698,"POLYGON ((37.4014715 54.7334029, 37.401547 54.7334263, 37.4016932 54.7332693, 37.4016177 54.7332458, 37.4014715 54.7334029))",,yes,,,"[2239448379, 2239448382, 2239448367, 2239448365, 2239448379]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,214394699,"POLYGON ((37.3993119 54.7327829, 37.3992721 54.7327706, 37.3991703 54.7328805, 37.3992101 54.7328928, 37.3993119 54.7327829))",,public,,,"[2239448313, 2239448312, 2239448316, 2239448320, 2239448313]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,214394700,"POLYGON ((37.3991715 54.733171, 37.3993022 54.7332114, 37.3993784 54.7332349, 37.3993973 54.7332146, 37.3991904 54.7331507, 37.3991715 54.733171))",,public,,,"[2239448353, 6285785376, 2239448360, 2239448358, 2239448350, 2239448353]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,214394703,"POLYGON ((37.3998318 54.7332144, 37.3997351 54.7333189, 37.3993973 54.7332146, 37.3991904 54.7331507, 37.3990199 54.733098, 37.3992101 54.7328928, 37.3993119 54.7327829, 37.3993739 54.732716, 37.4000832 54.732935, 37.3999496 54.7330792, 37.3998175 54.7330384, 37.3998601 54.7329924, 37.399626 54.7329201, 37.3994598 54.7330996, 37.3998318 54.7332144))",community_centre,public,Заокский районный культурно-досуговый центр,,"[2239448357, 2239448374, 2239448358, 2239448350, 2239448342, 2239448320, 2239448313, 2239448309, 2239448323, 2239448338, 2239448327, 2239448325, 2239448321, 2239448343, 2239448357]",17,улица Поленова,,4,,,,,,,,,,,,,,,,,,,,,,
way,214394705,"POLYGON ((37.3988357 54.7334138, 37.3989228 54.7334406, 37.3989399 54.733422, 37.3990714 54.7334624, 37.3990551 54.7334801, 37.3991301 54.7335031, 37.3989722 54.7336745, 37.3988107 54.733625, 37.3987567 54.7336836, 37.3986247 54.733643, 37.3988357 54.7334138))",courthouse,public,Заокский районный суд,,"[2239448380, 2239448383, 2239448381, 2239448385, 2239448386, 2239448388, 2239448404, 2239448397, 2239448409, 2239448400, 2239448380]",48,улица Ленина,,,,,,,+7 48734 21378,,,,,,,,,,,,,,,,,
way,214394706,"POLYGON ((37.3993572 54.733582, 37.399577 54.7336486, 37.3994707 54.7337656, 37.399403 54.733745, 37.3994222 54.7337239, 37.39927 54.7336778, 37.3993572 54.733582))",,yes,Заокский спортивно-технический клуб ДОСААФ,,"[2239448391, 2239448402, 2239448422, 2239448420, 2239448417, 2239448408, 2239448391]",1,2-й проезд,301000,,,,,,,,,,,,,,,,,,,,,,,
way,214394708,"POLYGON ((37.400959 54.7332394, 37.4009772 54.7332449, 37.4011308 54.7330758, 37.4011695 54.7330875, 37.4011931 54.7330615, 37.401231 54.733073, 37.4012539 54.7330478, 37.4013876 54.7330883, 37.40142 54.7330554, 37.4014755 54.7331039, 37.4015273 54.7331194, 37.4015192 54.7331305, 37.4016783 54.7331771, 37.4016177 54.7332458, 37.4014715 54.7334029, 37.4007876 54.734158, 37.4007595 54.7341614, 37.4007295 54.734165, 37.4006966 54.7341332, 37.400615 54.7341076, 37.4007504 54.733967, 37.4007522 54.733934, 37.400796 54.7339159, 37.400796 54.7338648, 37.4008675 54.7338405, 37.4008657 54.7338096, 37.4009086 54.7337946, 37.4009748 54.7337316, 37.4009552 54.7337251, 37.4009283 54.7337161, 37.4008183 54.7337218, 37.4008636 54.7336766, 37.4007291 54.7336328, 37.4007511 54.7336103, 37.400709 54.7335966, 37.4007299 54.7335752, 37.4006822 54.7335597, 37.4008362 54.733402, 37.4008137 54.7333947, 37.4008401 54.7333678, 37.4008362 54.7333032, 37.4009292 54.7332722, 37.400959 54.7332394))",,retail,"Торговый Центр ""Заокский""",mall,"[2239448362, 2239448364, 2239448336, 2239448339, 2239448332, 2239448334, 2239448329, 2239448341, 2239448331, 2239448345, 2239448346, 2239448348, 2239448355, 2239448365, 2239448379, 2239448444, 6287059756, 2239448445, 2239448442, 2239448439, 2239448433, 2239448432, 2239448431, 2239448430, 2239448428, 2239448426, 2239448425, 2239448418, 6287059750, 2239448413, 2239448415, 2239448406, 2239448399, 2239448395, 2239448393, 2239448390, 2239448389, 2239448378, 2239448377, 2239448376, 2239448372, 2239448369, 2239448362]",6,улица Поленова,301000,3,,,,,,,,,,,,,,,,,,,,,,
way,224496069,"POLYGON ((37.3918489 54.7295271, 37.3925346 54.7295754, 37.392558 54.7294647, 37.3918723 54.7294164, 37.3918489 54.7295271))",,yes,,,"[2333164809, 2333164805, 2333164807, 2333164811, 2333164809]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,231421030,"POLYGON ((37.398533 54.7325268, 37.3981524 54.7324126, 37.398302 54.7322464, 37.3981158 54.7321905, 37.3979021 54.7324279, 37.3980623 54.732476, 37.3980226 54.73252, 37.3984766 54.7326563, 37.3985067 54.7326228, 37.3986624 54.7326695, 37.3988856 54.7324215, 37.3986826 54.7323605, 37.398533 54.7325268))",,yes,,,"[2398128979, 2398128973, 2398128969, 2398128968, 2398128975, 2398128977, 2398128978, 2398128981, 2398128980, 2398128983, 2398128974, 2398128972, 2398128979]",35,площадь Ленина,,2,,Заокский,,,,,,,,,,,,,,,,,,,,
