element_type,osmid,source,geometry,addr:housenumber,addr:street,fixme,wheelchair,addr:city,name,opening_hours,tourism,building,nodes,building:levels,building:material,addr:postcode,description,roof:shape,amenity,addr2:housenumber,addr2:street,phone,generator:method,addr:country,addr:district,addr:region,note,name:en,shop,name:ru,religion,website,administrative,office,layer,man_made,addr:place,roof:levels,power,bench,shelter,healthcare,addr:full,alt_name,brand,brand:en,brand:wikidata,brand:wikipedia,contact:email,contact:facebook,contact:instagram,contact:ok,contact:phone,contact:vk,contact:website,operator,ref,service,ways,type
way,87201240,,"POLYGON ((34.4670167 62.9120108, 34.4678029 62.9116695, 34.4676256 62.9115848, 34.4668394 62.9119261, 34.4670167 62.9120108))",7,улица Дзержинского,,,,,,,apartments,"[1013989541, 1013989510, 1013989485, 1013989588, 1013989541]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87201241,,"POLYGON ((34.4707282 62.9123418, 34.4712918 62.9121192, 34.4711131 62.9120254, 34.4705495 62.912248, 34.4707282 62.9123418))",16,улица М.Горького,,,Медвежьегорск,,,,apartments,"[1013989441, 1013989555, 1013989489, 1013989407, 1013989441]",3,,186350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87201245,,"POLYGON ((34.4684724 62.9129005, 34.468717 62.9127978, 34.4679851 62.9124365, 34.4677405 62.9125393, 34.4684724 62.9129005))",11,улица Дзержинского,,,,,,,apartments,"[1013989438, 1013989453, 1013989437, 1013989499, 1013989438]",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87201247,,"POLYGON ((34.4675777 62.9124396, 34.4677935 62.9123462, 34.467272 62.9120964, 34.4670562 62.9121899, 34.4675777 62.9124396))",9,улица Дзержинского,,,,"Детский сад ""Медвежонок""",,,yes,"[1013989558, 1013989494, 1013989468, 1013989475, 1013989558]",2,,,,,kindergarten,,,+7 81434 22685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87201248,,"POLYGON ((34.4688318 62.9117476, 34.4693629 62.9115115, 34.4694167 62.9115366, 34.4695407 62.9114815, 34.4694515 62.9114399, 34.469628 62.9113614, 34.4694975 62.9113005, 34.4692994 62.9113886, 34.4692132 62.9113484, 34.4689029 62.9114864, 34.4690024 62.9115328, 34.4688814 62.9115866, 34.4687573 62.9115287, 34.4685552 62.9116186, 34.4688318 62.9117476))",,улица Карла Либкнехта,,,Медвежьегорск,Котельная,,,industrial,"[1013989467, 1013989571, 1013989413, 1013989495, 1013989552, 1013989613, 1013989572, 1013989457, 1013989425, 1013989410, 1013989611, 1013989603, 1013989567, 1013989549, 1013989467]",,,,,,,,,,combustion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87201252,,"POLYGON ((34.4723575 62.9117212, 34.4725876 62.9116257, 34.4713113 62.9109879, 34.4710812 62.9110834, 34.4723575 62.9117212))",8,улица М.Горького,,,,,,,apartments,"[1013989409, 1013989504, 1013989439, 1013989490, 1013989409]",5,cement_block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87201254,BING,"POLYGON ((34.4689507 62.9131283, 34.4697622 62.9127858, 34.4695623 62.9126876, 34.4687508 62.9130301, 34.4689507 62.9131283))",13,улица Дзержинского,,,Медвежьегорск,,,,apartments,"[1013989486, 1013989455, 1013989423, 1013989514, 1013989486]",3,,186350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87201256,,"POLYGON ((34.4699433 62.9126916, 34.4704374 62.9124611, 34.4702705 62.9123869, 34.4697764 62.9126174, 34.4699433 62.9126916))",18,улица М.Горького,,,Медвежьегорск,,,,apartments,"[1013989543, 1013989525, 1013989422, 1013989617, 1013989543]",2,,186350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87201257,,"POLYGON ((34.4684033 62.9123591, 34.4694183 62.9119175, 34.4692349 62.9118301, 34.4682199 62.9122717, 34.4684033 62.9123591))",11А,улица Дзержинского,,,Медвежьегорск,,,,apartments,"[1013989426, 1013989518, 1013989522, 1013989523, 1013989426]",5,,186350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87201258,,"POLYGON ((34.4708681 62.9116327, 34.4711054 62.9115317, 34.4705521 62.9112623, 34.4703149 62.9113634, 34.4708681 62.9116327))",,,,,,,,,yes,"[1013989469, 1013989500, 1013989471, 1013989466, 1013989469]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
