key;count_all;values_all;characters;grade
building:usage:pl;259566;205;colon;g
content;259351;848;plain;g
HFCS;258331;111;letters;g
manhole;258311;173;plain;g
nhd:ftype;256761;29;colon;g
embankment;255509;92;plain;g
outdoor_seating;254793;184;plain;g
naptan:verified;254520;11;colon;g
traffic_signals:sound;252268;30;colon;g
railway:signal:position;250962;39;colon;g
KSJ2:curve_id;250609;46519;letters;g
moped;249050;42;plain;g
building:age;247501;164;colon;g
brand:en;246281;2792;colon;g
mvdgis:cod_nombre;245441;5197;colon;g
source:url;245063;28081;colon;g
oneway:bicycle;244716;26;colon;g
name:br;243144;71629;colon;g
vending;241755;2702;plain;g
departures_board;240738;59;plain;g
heritage;240215;141;plain;g
area:highway;239303;261;colon;g
addr:block;238543;5657;colon;g
source:population;236975;58729;colon;g
is_in:country;236487;400;colon;g
name:sr;236162;79223;colon;g
unsigned_ref;234612;30108;plain;g
comment;234456;83447;plain;g
zone:maxspeed;234375;144;colon;g
naptan:CommonName;232031;113115;letters;g
motorroad;231611;6;plain;g
sidewalk:right;231155;39;colon;g
industrial;229954;1093;plain;g
naptan:Bearing;228393;34;letters;g
LINZ2OSM:source_version;227684;3;letters;g
LINZ2OSM:layer;227684;6;letters;g
LINZ2OSM:dataset;227684;14;letters;g
mvdgis:padron;226939;205782;colon;g
source:outline;226253;582;colon;g
source:data;225488;135;colon;g
network:type;225021;74;colon;g
naptan:Street;224430;40292;letters;g
payment:cash;222075;150;colon;g
sidewalk:left;220805;32;colon;g
linz2osm:objectid;220530;220417;letters;g
contact:facebook;220307;136458;colon;g
ssr:stedsnr;218554;217243;colon;g
prow_ref;218506;100481;plain;g
mofa;217504;28;plain;g
taxon;216485;3500;plain;g
transformer;215288;135;plain;g
source:shape;215176;144;colon;g
train;213739;39;plain;g
line_attachment;213016;180;plain;g
waste;212557;1472;plain;g
local_ref;211668;38194;plain;g
CLC:id;209217;144604;letters;g
lcn;206995;242;plain;g
condition;206721;206;plain;g
species:en;206647;2754;colon;g
smoking;206636;149;plain;g
addr:block:en;206348;1278;colon;g
naptan:NaptanCode;205382;204823;letters;g
min_height;205292;4773;plain;g
source:name:br;205236;171;colon;g
naptan:Indicator;204028;47675;letters;g
building:fireproof;203607;3;colon;g
tiger:zip_left_1;203590;20137;letters;g
building:structure;202386;226;colon;g
species:de;198431;2309;colon;g
GNS:id;198146;193477;letters;g
generator:solar:modules;196335;669;colon;g
massgis:way_id;196233;89267;colon;g
memorial;195649;850;plain;g
heritage:operator;194836;612;colon;g
aerialway;193491;82;plain;g
wires;190965;113;plain;g
project:eurosha_2012;190837;3;letters;g
GNS:dsg_code;189660;205;letters;g
name:ja-Hira;188140;107150;rest;g
traffic_signals:vibration;187471;10;colon;g
garden:type;185966;273;colon;g
tiger:name_base_2;185864;25688;letters;g
informal;184273;43;plain;g
stop;184114;977;plain;g
diameter;184016;3937;plain;g
board_type;183950;1245;plain;g
artwork_type;183860;1054;plain;g
operator:en;183461;2093;colon;g
atm;183372;101;plain;g
railway:position;183340;21197;colon;g
highway:category:pl;181572;21;colon;g
hgv:national_network;180907;7;colon;g
NHD:Permanent_;180524;177868;rest;g
genus:en;180508;1203;colon;g
is_in:state;179850;1203;colon;g
operational_status;179167;182;plain;g
usar_addr:edit_date;176487;5;colon;g
